Accident_ID,Location,Date,Time,Accident_Type,Severity,Vehicles_Involved,Casualties
7001,Highway,2024-06-01,Evening,Overturn,Minor,1,0
7002,Highway,2024-06-02,Evening,Skid,Minor,1,1
7003,Highway,2024-06-03,Night,Overturn,Fatal,4,0
7004,Junction,2024-06-04,Afternoon,Collision,Major,1,3
7005,Highway,2024-06-05,Evening,Skid,Minor,1,2
7006,Highway,2024-06-06,Afternoon,Overturn,Minor,1,1
7007,Highway,2024-06-07,Evening,Collision,Major,1,0
7008,City Road,2024-06-08,Morning,Skid,Minor,3,4
7009,City Road,2024-06-09,Evening,Collision,Major,4,1
7010,Junction,2024-06-10,Morning,Skid,Major,2,1
7011,Junction,2024-06-11,Evening,Collision,Major,1,0
7012,City Road,2024-06-12,Night,Collision,Major,3,1
7013,City Road,2024-06-13,Morning,Overturn,Major,3,4
7014,City Road,2024-06-14,Evening,Collision,Fatal,3,5
7015,Highway,2024-06-15,Night,Skid,Minor,2,1
7016,Highway,2024-06-16,Morning,Skid,Fatal,1,5
7017,City Road,2024-06-17,Night,Overturn,Minor,4,4
7018,Highway,2024-06-18,Afternoon,Skid,Fatal,4,0
7019,Highway,2024-06-19,Afternoon,Skid,Major,3,2
7020,Junction,2024-06-20,Morning,Skid,Minor,2,1
7021,City Road,2024-06-21,Evening,Collision,Minor,2,2
7022,City Road,2024-06-22,Morning,Collision,Fatal,2,4
7023,Highway,2024-06-23,Night,Skid,Fatal,4,1
7024,City Road,2024-06-24,Evening,Overturn,Minor,3,5
7025,Junction,2024-06-25,Afternoon,Collision,Fatal,1,3
7026,Junction,2024-06-26,Evening,Overturn,Fatal,4,2
7027,Junction,2024-06-27,Afternoon,Skid,Fatal,3,1
7028,City Road,2024-06-28,Evening,Skid,Major,3,2
7029,City Road,2024-06-29,Evening,Collision,Major,1,1
7030,City Road,2024-06-30,Evening,Skid,Fatal,1,0
7031,City Road,2024-07-01,Night,Collision,Fatal,1,5
7032,City Road,2024-07-02,Night,Skid,Major,2,2
7033,Junction,2024-07-03,Morning,Skid,Major,1,3
7034,Highway,2024-07-04,Morning,Collision,Minor,3,3
7035,Junction,2024-07-05,Afternoon,Collision,Minor,1,4
7036,City Road,2024-07-06,Night,Collision,Major,3,1
7037,Junction,2024-07-07,Afternoon,Skid,Fatal,4,2
7038,City Road,2024-07-08,Morning,Skid,Fatal,2,4
7039,City Road,2024-07-09,Afternoon,Overturn,Fatal,4,2
7040,Junction,2024-07-10,Morning,Collision,Fatal,4,1
7041,City Road,2024-07-11,Night,Skid,Minor,3,3
7042,Highway,2024-07-12,Evening,Skid,Major,4,0
7043,City Road,2024-07-13,Night,Collision,Fatal,3,3
7044,Highway,2024-07-14,Afternoon,Overturn,Minor,1,4
7045,Highway,2024-07-15,Afternoon,Collision,Fatal,1,5
7046,City Road,2024-07-16,Night,Overturn,Major,3,0
7047,Junction,2024-07-17,Night,Skid,Minor,1,4
7048,Highway,2024-07-18,Morning,Overturn,Major,2,1
7049,Junction,2024-07-19,Afternoon,Skid,Major,4,0
7050,Highway,2024-07-20,Afternoon,Collision,Minor,2,4
